title,authors,fieldOfStudy,year,doiUrl
"Covalency in AnCp4 (An = Th-Cm): a comparison of molecular orbital, natural population and atoms-in-molecules analyses.","Matthew J Tassell, Nikolas  Kaltsoyannis",Chemistry,2010,https://doi.org/10.1039/c000704h
Does Presence of Foreign Directors Make a Difference? A Case of Indian IPOs:,Rekha  Handa,Business,2020,https://doi.org/10.1177/2278533720923508
The involvement of cell cycle checkpoint-mutations in the mutagenesis induced in Drosophila by a longer wavelength light band of solar UV.,"Megumi  Toyoshima, Syogo  Takinami, Kotaro  Hieda, Yoshiya  Fursawa, Tomoe  Negishi",Medicine,2002,https://doi.org/10.1039/B109556K
"So, what really makes a good GEES lecturer?",Paul N. Wright,Medicine,2005,https://doi.org/10.11120/plan.2005.00150004
"Finnish Prenatal Study of Bipolar Disorders (FIPS-B): Overview, design and description of the sample","Roshan  Chudal, Dan  Sucksdorff, Auli  Suominen, Venla  Lehti, Susanna  Hinkka-Yli-Salomäki, Jukka  Huttunen, Terja  Ristkari, Mika  Gissler, Ian W.  Mckeague, Alan S.  Brown, Andre  Sourander",Medicine,2014,https://doi.org/10.3109/08039488.2013.789073
Initial condition for evolution of the perturbative QCD Pomeron in a nucleus,M. A. Braun,Physics,2006,https://doi.org/10.1007/S11232-006-0088-3
"The Great War and Modern Amnesia: Studying Pennsylvania’s Great War, Part 2",Barbara A. Gannon,Sociology,2017,https://doi.org/10.5325/PENNHISTORY.84.4.0417
Multi-channel temperature measurement system with remote dashboard for electric vehicle,"Wojciech  Wojtkowski, Wojciech  Walendziuk",Computer Science,2019,https://doi.org/10.1117/12.2536497
Multiple schwannomas of the digital nerves and common palmar digital nerves,"Shuai  Jiang, Hui  Shen, Hui  Lu",Medicine,2019,https://doi.org/10.1097/MD.0000000000014605
Local cortical circuit correlates of altered EEG in the mouse model of Fragile X syndrome,"Sonal  Goswami, Sheridan  Cavalier, Vinay  Sridhar, Kimberly M. Huber, Jay R. Gibson",Chemistry,2019,https://doi.org/10.1016/j.nbd.2019.01.002
Search for metastable heavy charged particles with large ionization energy loss in pp collisions at $\sqrt{s}$=13 TeV with the ATLAS detector,Andrea  Favareto,Physics,2016,https://doi.org/10.22323/1.276.0233
Role of cations in the conformation of iota and kappa carrageenan,"Ian T. Norton, David M. Goodall, Edwin R. Morris, David A. Rees",Chemistry,1983,https://doi.org/10.1039/F19837902475
Diagnosing Tourette syndrome: is it a common disorder?,Mary M Robertson,Medicine,2003,https://doi.org/10.1016/S0022-3999%2802%2900580-9
Therapeutic Effects of Horseback Riding Interventions: A Systematic Review and Meta-analysis,"Alexandra  Stergiou, Meropi  Tzoufi, Evangelia  Ntzani, Dimitrios  Varvarousis, Alexandros  Beris, Avraam  Ploumis",Medicine,2017,https://doi.org/10.1097/PHM.0000000000000726
Evaluation of Performance Robustness of a Gas Turbine Cogeneration Plant Based on a Mixed-Integer Linear Model,"Ryohei  Yokoyama, Ryo  Nakamura, Tetsuya  Wakui, Yuji  Shinano",Computer Science,2016,https://doi.org/10.1115/GT2016-56217
Contactless density measurement of liquid Nd-doped 50%CaO-50%Al2O3,"Paul-François  Paradis, Jianding  Yu, Takehiko  Ishikawa, Shinichi  Yoda",Materials Science,2003,https://doi.org/10.1111/J.1151-2916.2003.TB03642.X
"Observation and analysis the impact of different laparoscopic surgical positions on respiratory,circulatory functions and postoperative symptoms of patients","Xue-jun  Cui, Xiu-fen  Li, Bei  Yan",Medicine,2012,https://doi.org/10.3760/CMA.J.ISSN.1674-2907.2012.28.003
The electron-stimulated desorption yield and penetration range of exciting electrons,"Yu. A. Kuznetsov, M. N. Lapushkin",Materials Science,2017,https://doi.org/10.1134/S1063785017070215
Sublattice switching in the three-dimensional ordered phase of the triangular-lattice antiferromagnet CsCoCl3.,"Kohmoto, Goto, Maegawa, Fujiwara, Fukuda, Kunitomo, Mekata",Physics,1995,https://doi.org/10.1103/PHYSREVB.52.12526
Biometric analysis of splancnic and somatic weight in infancy,"Dr. Pietro Gallo, Stefania  Discepoli, Cesare  Bosman",Biology,2004,https://doi.org/10.1007/BF00430698
Adolescents’ Future Time Perspective and Career Construction: Career Adaptability as Mediator and Hope as Moderator:,"Yin  Jia, Zhi-Jin  Hou, Jie  Shen",Psychology,2020,https://doi.org/10.1177/0894845320926579
Influence of Biaxial Surface Stress on Mechanical Indenting Deformations,"Yun Hee Lee, Jae-il  Jang, Dong Il Kwon",Materials Science,2004,https://doi.org/10.4028/www.scientific.net%2FMSF.449-452.93
Comparison of the rates of elongation provided by multiple smaller rhomboid flaps and larger single rhomboid flap--an experimental study.,"Ersin  Ulkür, Bahattin  Celiköz, Hüseyin  Karagöz, Cengiz  Açikel",Medicine,2006,https://doi.org/10.1016/J.BURNS.2005.10.002
Triana: a graphical Web service composition and execution toolkit Web Services,"Shalil  Majithia, Matthew  Shields, Ian  Taylor, Ian  Wang",Computer Science,2004,https://doi.org/10.1109/ICWS.2004.118
The Chihuahuan Desert: A Binational Conservation Response to Protect a Global Treasure,"Mark K. Briggs, E. Alejandro Lozano-Cavazos, Helen Mills Poulos, Javier  Ochoa-Espinoza, J. Alfredo Rodriguez-Pineda",Geography,2019,https://doi.org/10.1016/b978-0-12-409548-9.11966-9
Hemofiltration in Intensive Care,"G.  Berlot, M.  Viviani",Medicine,2001,https://doi.org/10.1007/978-88-470-2229-4_11
Bayesian learning of finite generalized inverted Dirichlet mixtures: Application to object classification and forgery detection,"Sami  Bourouis, Mohamed Al Mashrgy, Nizar  Bouguila",Mathematics,2014,https://doi.org/10.1016/j.eswa.2013.09.030
Quality of fresh retail pork cuts stored in modified atmosphere under temperature conditions simulating export to distant markets.,"L M McMullen, M E Stiles",Chemistry,1994,https://doi.org/10.1016/0309-1740%2894%2990107-4
Translation: DENR–MCT1 reinitiates translation,Eytan  Zlotorynski,Medicine,2014,https://doi.org/10.1038/nrm3845
A simple and rapid method for the quantitative isolation of proteins from polyacrylamide gels.,"M  Otto, M  Snejdárková",Chemistry,1981,https://doi.org/10.1016/0003-2697%2881%2990236-0
Structural patterns in conversations with a woman who has autism.,"S  Dobbinson, M R Perkins, J  Boucher",Medicine,1998,https://doi.org/10.1016/S0021-9924%2897%2900085-3
Osteoblastoma-like osteosarcoma,"Takayuki  Tani, K.  Okada, Kazuhiro  Shoji, Manabu  Hashimoto, Masato  Sageshima",Medicine,2000,https://doi.org/10.1007/s002560000271
"Research into resource-saving molybdenum-containing alloying additive, obtained by the metallization of oxide concentrate","Artem  Petryshchev, Stanislav  Hryhoriev, Ganna  Shyshkanova, Olena  Skuibida, Tetyana  Zaytseva, Oleksandr  Frydman, Olena  Mizerna",Materials Science,2017,https://doi.org/10.15587/1729-4061.2017.104078
Cadaveric study on static medial patellar stabilizers: the dynamizing role of the vastus medialis obliquus on medial patellofemoral ligament,"Elias  Panagiotopoulos, Piotr  Strzelczyk, Martin  Herrmann, Giles  Scuderi",Medicine,2005,https://doi.org/10.1007/s00167-005-0631-z
Symmetric coinvariant algebras and local Weyl modules at a double point,Toshiro  Kuwabara,Mathematics,2004,https://doi.org/10.1016/J.JALGEBRA.2005.10.015
Hungarian consumer behavior analysis in terms of healthy nutrition,"Krisztian  Lorinczi, Zoltán  Bács, Adrian Szilard Nagy",Economics,2009,https://doi.org/10.22004/AG.ECON.58087
Quantum Circuits Specifications based on Multiformity of Flexible Design Flows,"Irina  Matveeva, Vitaly  Kalmychkov, Anatoly  Dorokhov",Computer Science,2019,https://doi.org/10.1109/RUSAUTOCON.2019.8867669
On surface roughness-limited mobility in highly doped n-MOSFET's,"G.  Mazzoni, Andrea L. Lacaita, L. M. Perron, A.  Pirovano",Physics,1999,https://doi.org/10.1109/16.772486
On the distribution of scaling hydraulic parameters in a spatially anisotropic banana field,Carlos M. Regalado,Geology,2005,https://doi.org/10.1016/J.JHYDROL.2004.10.006
Design of Nanostructures: Self-Assembly of Nanomaterials,"Himadri B. Bohidar, Kamla  Rawat",Materials Science,2017,https://doi.org/10.1002/9783527810444
A brief history of the seven principles for good practice in undergraduate education,Zelda F. Gamson,Psychology,1991,https://doi.org/10.1002/TL.37219914703
Financing Technology: An Assessment of Theory and Practice,Pasquale Lucio Scandizzo,Economics,2004,https://doi.org/10.2139/ssrn.486823
Gray Relevance Analysis of Scientific and Technological Input and Economic Growth of Hebei,"Jian Na Zhao, Jing  Li",Economics,2011,https://doi.org/10.4028/www.scientific.net%2FAMM.71-78.3048
Toward an Understanding of How Threads Die in Asynchronous Computer Conferences,Jim  Hewitt,Computer Science,2005,https://doi.org/10.1207/s15327809jls1404_4
Paranoid Delusions in Schizophrenia Spectrum Disorders and Depression: The Transdiagnostic Role of Expectations of Negative Events and Negative Self-esteem,"Richard P. Bentall, Georgina  Rouse, Peter  Kinderman, Nigel  Blackwood, Rob  Howard, Rosie  Moore, Sinead  Cummins, Rhiannon  Corcoran",Psychology,2008,https://doi.org/10.1097/NMD.0b013e31817108db
Validation of Digital-PCR Analysis through Programmed imatinib Interruption in Q-RT-PCR Negative Chronic Myeloid Leukemia Patients,"Elisabetta  Vagge, Philipp le Coutre, Elisabetta  Abruzzese, Bruno  Martino, Ester  Pungolino, Chiara  Elena, Ivana  Pierri, Sarit  Assouline, Anna  D'Emilio, Antonella  Gozzini, Pilar  Giraldo, Fabio  Stagno, Arnon  Nagler, Alessandra  Iurlo, Christian  Rizzo, Alessia  Fossati, Enrico Maria Pogliani, Dong-Wook  Kim, Alessandra  Pirola, Rocco  Piazza, Carlo  Gambacorti-Passerini",Medicine,2013,https://doi.org/10.1182/BLOOD.V122.21.4040.4040
Deep whole-genome sequencing of multiple proband tissues and parental blood reveals the complex genetic etiology of congenital diaphragmatic hernias,"Eric L. Bogenschutz, Zachary D. Fox, Andrew  Farrell, Julia  Wynn, Barry  Moore, Lan  Yu, Gudrun  Aspelund, Gabor T. Marth, Mark Y. Yandell, Yihui  Shen, Wendy K. Chung, Gabrielle  Kardon",Biology,2020,https://doi.org/10.1016/j.xhgg.2020.100008
Saving the Amazon,"Janet  Raloff, Joanne  Silberner",Biology,1980,https://doi.org/10.2307/3965065
"The answer is 17 years, what is the question: understanding time lags in translational research","Zoë Slote Morris, Steven  Wooding, Jonathan  Grant",Computer Science,2011,https://doi.org/10.1258/jrsm.2011.110180
The Issues and Challenges in Copyright Protection for Agriculture Digital Publishing,Yuan-Yuan  Tu,Business,2014,https://doi.org/10.1007/978-3-319-19620-6_47
Oscillating processes with independent increments and nondegenerate Wiener component,D. V. Gusak,Mathematics,1990,https://doi.org/10.1007/BF01057401
Crystallographic Properties of Closely Stacked InAs Quantum Dots Investigated by Ion Channeling.,"Tsuyoshi  Ishigure, T.  Haga, Shunichi  Muto, Yoshiaki  Nakata, Naoki  Yokoyama",Physics,1999,https://doi.org/10.1143/JJAP.38.504
Effects of bone marrow mesenchymal stem cells on experimental bronchiolitis obliterans,"Weidong  Wu, Cheng-Gang  Lei, Yong  Zhu, Wei  Zheng, Zhaohui  Guo",Medicine,2017,https://doi.org/10.3760/CMA.J.ISSN.1001-9030.2017.01.023
Effect of Mo content on erosive wear characteristics of high chromium cast iron at 1173 K,"Kazumichi  Shimizu, Kenta  Kusumoto, Xinba  Yaer, Yao  Zhang, Masato  Shirai",Materials Science,2017,https://doi.org/10.1016/J.WEAR.2016.12.030
Low quality document image modeling and enhancement,"Reza Farrahi Moghaddam, Mohamed  Cheriet",Computer Science,2008,https://doi.org/10.1007/s10032-008-0076-2
Addressing Educational Accountability and Political Legitimacy with Citizen Responsibility,Sarah M. Stitzlein,Sociology,2015,https://doi.org/10.1111/EDTH.12132
Application of a New Cell Model for the Equation of State to 20 Polymer Melts and a Blend Melt,Masahiko  Murakami,Materials Science,2005,https://doi.org/10.1295/POLYMJ.37.363
Replica symmetry breaking solution for two-sublattice fermionic Ising spin glass models in a transverse field,"F. M. Zimmer, S. G. Magalhaes",Physics,2007,https://doi.org/10.1016/J.JMMM.2006.10.652
A comparison of evolved finite state classifiers and interpolated Markov models for improving PCR primer design,"Daniel A. Ashlock, Scott J. Emrich, Kenneth Mark Bryden, Steven M. Corns, Tsui-Jung  Wen, Patrick S. Schnable",Computer Science,2004,https://doi.org/10.1109/CIBCB.2004.1393953
Seasonal lipid storage as overwintering strategy of Antarctic krill,"Wilhelm  Hagen, E. S. Van Vleet, Gerhard  Kattner",Biology,1996,https://doi.org/10.3354/MEPS134085
Neurotransmission through dopamine D1 receptors is required for aversive memory formation and Arc activation in the cerebral cortex,"Nae  Saito, Kazuki  Tainaka, Tom  Macpherson, Toshikuni  Sasaoka",Chemistry,2020,https://doi.org/10.1016/j.neures.2020.04.006
Fear‐learning deficits in fibromyalgia: Precursor or consequence?,J L Rhudy,Medicine,2013,https://doi.org/10.1002/j.1532-2149.2013.00382.x
The Third Order Ordinary Differential Equations Admitting the Painlevé I and II as First Integrals,Guy  Grebot,Mathematics,1998,https://doi.org/10.1006/JMAA.1997.5823
Ratiology and a Complementary Class of Metrics for Cardiovascular Investigations.,"Peter L M Kerkhof, Richard A Peace, Neal  Handly",Medicine,2019,https://doi.org/10.1152/physiol.00056.2018
"An outbreak of diarrhoeic shellfish poisoning in Antwerp, Belgium.","K  De Schrijver, I  Maes, L  De Man, J  Michelet",Medicine,2002,https://doi.org/10.2807/ESM.07.10.00363-EN
Nosema ceranae (Microsporidia: Nosematidae) Does Not Cause Collapse of Colonies of Africanized Apis mellifera (Hymenoptera: Apidae) in Tropical Climate,"L  Guimarães-Cestaro, TS  Maia, R  Martins, MLTMF  Alves, IP  Otsuk, D  Message, EW  Teixeira",Biology,2020,https://doi.org/10.13102/SOCIOBIOLOGY.V67I3.4950
[A basic study on the association of Epstein-Barr virus with nasopharyngeal carcinoma--detection and genotypic analysis of Epstein-Barr virus associated with nasopharyngeal carcinoma in Japanese patients].,S  Tamura,Medicine,1992,https://doi.org/10.3950/JIBIINKOKA.95.738
Nicotinic and muscarinic acetylcholine receptors are essential for the long-term response of tyrosine hydroxylase gene expression to chronic nicotine treatment in rat adrenal medulla.,"Reiji  Yoshimura, Lu  Xu, Baoyong  Sun, A William Tank",Medicine,2004,https://doi.org/10.1016/J.MOLBRAINRES.2004.04.007
Universal learning mechanisms: From genes to molecular switches,Yadin  Dudai,Biology,1989,https://doi.org/10.1016/B978-0-12-287960-9.50014-9
Subsurface Airflow Induced by Natural Forcings,"JiuJ．Jiao, LIHailong",Environmental Science,2004,https://doi.org/10.11867/j.issn.1001-8166.2004.03.0415
"Metal Complexes of Pharmacophore-Containing Pectin with d-Elements Ions (Cu2+, Co2+, and Mn2+)","R. Kh. Mudarisova, A. F. Sagitova, O. S. Kukovinets, S. V. Kolesov",Chemistry,2020,https://doi.org/10.1134/S1070363220040167
[Immunisation schedule of the Spanish Association of Paediatrics: 2018 recommendations].,"David  Moreno-Pérez, Francisco José Álvarez García, Javier  Álvarez Aldeán, María José Cilleruelo Ortega, María  Garcés Sánchez, Nuria  García Sánchez, Ángel  Hernández Merino, María  Méndez Hernández, Manuel  Merino Moína, Abián  Montesdeoca Melián, Jesús  Ruiz-Contreras",Medicine,2018,https://doi.org/10.1016/j.anpedi.2017.10.001
Salivary cortisol response to psychosocial stress in the late evening depends on CRHR1 genotype,"J.  Weeger, M.  Ising, B.  Müller-Myhsok, A.  Steiger",Medicine,2020,https://doi.org/10.1016/j.psyneuen.2020.104685
"Biology, Chemistry, and Pharmacology of Sirtuins.","A  Bedalov, S  Chowdhury, J A Simon",Chemistry,2016,https://doi.org/10.1016/bs.mie.2016.03.011
On-line estimation of lithium polymer batteries state-of-charge using particle filter based data fusion with multi-models approach,"Daming  Zhou, Alexandre  Ravey, Fei  Gao, Abdellatif  Miraoui, Ke  Zhang",Engineering,2015,https://doi.org/10.1109/IAS.2015.7356839
Survivable WDM-PON with self-protection and in-service fault localization capabilities,"Xiaofei  Cheng, Yang Jing Wen, Zhaowen  Xu, Yixin  Wang, Yong-Kee  Yeo",Computer Science,2008,https://doi.org/10.1016/J.OPTCOM.2008.06.018
The methods of RF phase locked loops for active mode‐locking picosecond laser with different repetition rates,"Yan  Zhou, Claire  Gu",Engineering,2009,https://doi.org/10.1002/MOP.24803
Multiple Folding for Successive Cancelation Decoding of Polar Codes,"Sinan  Kahraman, Emanuele  Viterbo, Mehmet E. Celebi",Mathematics,2014,https://doi.org/10.1109/LWC.2014.2343970
Mechanisms of suppressing secondary nucleation for low-power and low-temperature microwave plasma self-bias-enhanced growth of diamond films in argon diluted methane,"Ji Heng Jiang, Yonhua  Tzeng",Materials Science,2011,https://doi.org/10.1063/1.3656241
Optimal Control of Flight Delays Allocation at Airport,"Zhi Wei Xing, Jiang  Yu, Hong Yue Lu",Engineering,2014,https://doi.org/10.4028/www.scientific.net%2FAMM.513-517.4494
Angioplastia primária via radial com doses aumentadas de tirofiban: uma técnica segura e efetiva,"Marden André Tebet, Pedro Beraldo de Andrade, Milena  Gentile, Luiz Alberto Mattos, André  Labrunie",Medicine,2007,https://doi.org/10.1590/S2179-83972007000300012
Financial Development in India: An Empirical Test of the McKinnon–Shaw Model,Mahendra  Pal,Economics,2014,https://doi.org/10.1007/978-81-322-1650-6_24
"Gastrointestinal Tract Antigenic Profile of Cotton-Top Tamarin, Saguinus oedipus, is Similar to That of Humans with Inflammatory Bowel Disease","Martin  Tobi, Sreeniwas  Chintalapani, Karel  Kithier, Neal  Clapp",Medicine,2004,https://doi.org/10.1023/A%3A1005622521294
Cross- and self-compatibility in various species of the genus Rosa,"Y.  Ueda, S.  Akimoto",Biology,2001,https://doi.org/10.1080/14620316.2001.11511382
Feathered tail and pygostyle for the flying control of a bio-mimicking eagle bird robot,"Francis  Nickols, Yueh-Jaw  Lin",Computer Science,2017,https://doi.org/10.1109/ICCIS.2017.8274837
Noise reduction by balanced detection in microwave photonic filters based on optical broadband sources,"Xiaoxiao  Xue, Xiaoping  Zheng, Hanyi  Zhang, Bingkun  Zhou",Materials Science,2011,https://doi.org/10.1364/CLEO_SI.2011.CTHY3
Hybrid Segmentation and 3D Modeling of Pleural Effusion on CT,"K P Ashvitha, M  ShilpaAarthi, M R Thamizhkkanal, M  Rajendiran, S  Malathi",Medicine,2018,https://doi.org/10.2991/PECTEAM-18.2018.29
Scenario analysis of embodied greenhouse gas emissions in UK construction,"Jannik  Giesekam, John  Barrett, Peter G. Taylor",Engineering,2016,https://doi.org/10.1680/JENSU.16.00020
Formation of a reacted layer at the barrierless Cu(WN)∕Si interface,"Jinn P. Chu, C. H. Lin",Physics,2005,https://doi.org/10.1063/1.2133911
Drosophila mitotic domain boundaries as cell fate boundaries.,"S B Cambridge, R L Davis, J S Minden",Medicine,1997,https://doi.org/10.1126/SCIENCE.277.5327.825
Urban versus suburban consumers: a contrast in holiday shopping purchase intentions and outshopping behavior,Michael F. Smith,Business,1999,https://doi.org/10.1108/07363769910250778
Morphometric study of the sensory nerve in classical (or Charcot disease) and juvenile amyotrophic lateral sclerosis,"Mongi Ben Hamida, Fethi  Letaief, Fayçal  Hentati, Christiane Ben Hamida",Medicine,1987,https://doi.org/10.1016/0022-510X%2887%2990045-1
Impact of Emergency Department Phlebotomists on Left-Before-Treatment-Completion Rates,"Jeffrey R. Stowell, Paul  Pugsley, Heather  Jordan, Murtaza  Akhter",Medicine,2019,https://doi.org/10.5811/westjem.2019.5.41736
Camera calibration from orthogonally projected coordinates with noisy-RANSAC,ZuWhan  Kim,Computer Science,2009,https://doi.org/10.1109/WACV.2009.5403107
In pursuit of ‘safe’ water: the burden of personal injury from water fetching in 21 low-income and middle-income countries,"Vidya  Venkataramanan, Jo-Anne L Geere, Benjamin  Thomae, Justin  Stoler, Paul R Hunter, Sera L Young",Medicine,2020,https://doi.org/10.1136/bmjgh-2020-003328
Research & Development of Virtual Oscillograph Based on LabVIEW,"Yabin  Liu, Yaqin  Han, Shouqian  Yu",Engineering,2006,https://doi.org/10.1109/INDIN.2006.275775
FLMin: An Approach for Mining Frequent Links in Social Networks,"Erick  Stattner, Martine  Collard",Computer Science,2012,https://doi.org/10.1007/978-3-642-30567-2_38
Trabecular meshwork failure in a model of pigmentary glaucoma,"Yalong  Dang, Susannah  Waxman, Chao  Wang, Ralitsa T. Loewen, Ming  Sun, Nils A. Loewen",Biology,2017,https://doi.org/10.1101/118448
The Everyday Politics of Being a Student in South Africa,Meghan  Healy-Clancy,Political Science,2016,https://doi.org/10.1111/HIC3.12375
Decomposition of trifluoromethane over nickel pyrophosphate catalysts containing metal cation,"Hiroaki  Onoda, Takafumi  Ohta, Jun  Tamaki, Kazuo  Kojima",Chemistry,2005,https://doi.org/10.1016/J.APCATA.2005.04.028
Optic neuropathies for the neurologist.,V A Purvin,Medicine,2000,https://doi.org/10.1055/S-2000-6836
Cr/sup 4+/:YAG as passive Q-switch and Brewster plate in a pulsed Nd:YAG laser,"Y.  Shimony, Zeev  Burshtein, Y.  Kalisky",Physics,1995,https://doi.org/10.1109/3.466043
Decentralized robust mixed H2/H∞ reactive power control of DFIG cluster using SMES,"Kazi Shariful Islam, Mehdi  Seyedmahmoudian, Alex  Stojcevski",Computer Science,2019,https://doi.org/10.1016/J.IJEPES.2019.05.017
Involvement of upstream stimulatory factor in regulation of the mouse Prnd gene coding for Doppel protein.,"Janka  Sepelakova, Martina  Takacova, Silvia  Pastorekova, Juraj  Kopacek",Biology,2005,https://doi.org/10.1016/J.BBAEXP.2005.10.002
Development Status and Countermeasures of China's Auto Service Industry,"Ying  Wang, Zheng  Zhao",Computer Science,2012,https://doi.org/10.1109/ICEE.2012.1113
EpCAM-Selective Elimination of Carcinoma Cells by a Novel MAP-Based Cytolytic Fusion Protein,"Dmitrij  Hristodorov, Manal  Amoury, Radoslav  Mladenov, Judith  Niesen, Katharina  Arens, Nina  Berges, Lea  Hein, Stefano  Di Fiore, Anh-Tuan  Pham, Michael  Huhn, Wijnand  Helfrich, Rainer  Fischer, Theo  Thepen, Stefan  Barth",Biology,2014,https://doi.org/10.1158/1535-7163.MCT-13-0781
Analisis Pigmen Alami Daun Mangga (Mangifera Indicalinn) Sebagai Pewarna Batik Dengan UV-VIS,"Ni Komang Tribuana Cipta Putri, I Gst Agung Ayu Ratnawati, Wayan Gede Suharta",Chemistry,2019,https://doi.org/10.29408/KPJ.V3I2.1627
Persistent orthostatic headache without intracranial hypotension: which treatment?,"M.  Curone, A. Proietti Cecchini, L.  Chiapparini, D.  D’Amico",Medicine,2015,https://doi.org/10.1007/s10072-015-2170-9
Developmental expression of glutathione-S-transferase in maize and its possible connection with herbicide tolerance,"Mirella  Sari-Gorla, Silvia  Ferrario, Laura  Rossini, Carla  Frova, Marzio  Villa",Biology,2004,https://doi.org/10.1007/BF00040624
The definition of restraint effectiveness,Timothy Paul Hutchinson,Engineering,1980,https://doi.org/10.1016/0001-4575%2880%2990046-9
Influences of acceleration with memory on stability of traffic flow and vehicle’s fuel consumption,"Xinjuan  Ma, Hongxia  Ge, Rongjun  Cheng",Computer Science,2019,https://doi.org/10.1016/J.PHYSA.2019.03.024
Low jitter and drift high voltage IGBT gate driver,"C.  Huang, R.  Saethre, P.  Melcher, R.  Ness",Engineering,2003,https://doi.org/10.1109/PPC.2003.1277675
Structural parameter design method for a fast-steering mirror based on a closed-loop bandwidth,"Guozhen  Chen, Pinkuan  Liu, Han  Ding",Computer Science,2020,https://doi.org/10.1007/S11465-019-0545-Y
Research and Implementation of Malicious Code Behavior Analysis,"Wei  Li, Peng  Liu, Hao  Chen",Computer Science,2012,https://doi.org/10.4028/www.scientific.net%2FAMM.182-183.1938
Attitudes and Behaviors with Regards to Androgenic Anabolic Steroids Among Male Adolescents in a County of Sweden,"Sverker  Nilsson, Fredrik  Spak, Bertil  Marklund, Amir  Baigi, Peter  Allebeck",Medicine,2004,https://doi.org/10.1081/JA-200030485
Interobserver reliability of teledermatology across all Fitzpatrick skin types,"Lisa  Altieri, Jenny  Hu, Andrew  Nguyen, Myles  Cockburn, Melvin  Chiu, Jonathan  Cotliar, Jenny  Kim, David  Peng, Ashley  Crew",Medicine,2017,https://doi.org/10.1177/1357633X15621226
"5-demethylnobiletin promotes the formation of polymerized tubulin, leads to G2/M phase arrest and induces autophagy via JNK activation in human lung cancer cells.","Yu-Kuo  Chen, Hsin-Chieh  Wang, Chi-Tang  Ho, Hisn-Yu  Chen, Shiming  Li, Hong-Lin  Chan, Ting-Wen  Chung, Kok-Tong  Tan, Yi-Ron  Li, Chi-Chen  Lin",Biology,2015,https://doi.org/10.1016/j.jnutbio.2014.12.003
Energy Balancing through Touch for Health,C  Gottesman,Psychology,1992,https://doi.org/10.1177/089801019201000404
Cloning and characterization of tropomyosin from the mite Chortoglyphus arcuatus.,"M Angeles López-Matas, Victor  Iraola, Raquel  Moya, Lisa D Vailes, Anna  Pomés, Manuel  Boquete, Enrique  Fernández-Caldas, L G Arlian, Martin  Chapman, Jerónimo  Carnés",Biology,2015,https://doi.org/10.1016/j.molimm.2015.10.004
Data Localisation and the Balkanisation of the Internet,Erica  Fraser,History,2016,https://doi.org/10.2966/SCRIP.130316.359
The Political Economy of Private Sector Development in Communist China: Evidence from Zhejiang Province,"Qi  Zhang, Mingxing  Liu",Economics,2013,https://doi.org/10.1007/S12116-013-9127-X
A support property for infinite-dimensional interacting diffusion processes,"Michael  Rockner, Byron  Schmuland",Mathematics,1998,https://doi.org/10.1016/S0764-4442%2897%2982995-3
Nonalcoholic steatohepatitis (NASH) with diabetes: predictors of liver fibrosis.,"D N Amarapurka, A D Amarapurkar, N D Patel, S  Agal, R  Baigal, P  Gupte, S  Pramanik",Medicine,2006,https://doi.org/10.1016/S1665-2681%2819%2932036-8
The C-terminal domain phosphatase and transcription elongation activities of FCP1 are regulated by phosphorylation,"Erika M Friedl, William S Lane, Hediye  Erdjument-Bromage, Paul  Tempst, Danny  Reinberg",Medicine,2003,https://doi.org/10.1073/pnas.2628049100
Low serum 25-hydroxyvitamin D levels are associated with depression in an adult Norwegian population,"Marie  Kjærgaard, Ragnar  Joakimsen, Rolf  Jorde",Medicine,2011,https://doi.org/10.1016/j.psychres.2011.06.024
Spider diffraction: a comparison of curved and straight legs.,J L Richter,Physics,1984,https://doi.org/10.1364/AO.23.001907
Author-field interaction following publication in “higher education” journals,Robert J. Silverman,Sociology,1988,https://doi.org/10.1007/BF00139533
"Age and growth of gilt-head sea bream (Sparus aurata L.) in the Mirna estuary, northern Adriatic","Miro  Kraljević, Jakov  Dulčić",Biology,1997,https://doi.org/10.1016/S0165-7836%2897%2900016-7
Comprehensive Treatment of Patients with Lymphedema of the Lower Extremities,"Galina Victorovna Yarovenko, Яровенко Галина Викторовна, Pavel Nikolaevich Myshentsev, Мышенцев Павел Николаевич",Medicine,2019,https://doi.org/10.18499/2070-478x-2019-12-4-230-234
Optical detection of chemical warfare agents and toxic industrial chemicals: Simulation,"Michael E. Webber, Michael B. Pushkarsky, C. Kumar N. Patel",Physics,2005,https://doi.org/10.1063/1.1900931
Effect of a multidisciplinary treatment program on eating behavior in overweight and obese preschool children,"Gianni  Bocca, Mirije W B Kuitert, Pieter J J Sauer, Eva  Corpeleijn",Medicine,2018,https://doi.org/10.1515/jpem-2017-0390
Characterizing multiple metal ion binding sites within a ribozyme by cadmium‐induced EPR silencing,"Natalia  Kisseleva, Stefanie  Kraut, Andres  Jäschke, Olav  Schiemann",Biology,2007,https://doi.org/10.2976/1.2756332
Difficult Peripheral Venous Access in Children: An International Survey and Critical Appraisal of Assessment Tools and Escalation Pathways.,"Jessica  Schults, Claire  Rickard, Tricia  Kleidon, Rebecca  Paterson, Fiona  Macfarlane, Amanda  Ullman",Medicine,2019,https://doi.org/10.1111/jnu.12505
